"Data Source","World Development Indicators",

"Last Updated Date","2017-06-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10399997234344","0.962000012397766","1.28400003910065","1.24899995326996","0.522000014781952","1.03900003433228","1.03900003433228","1.03400003910065","1.03999996185303","1.03600001335144","1.04900002479553","0.421999990940094","7.71400022506714","7.71000003814697","7.69000005722046","7.63100004196167","7.57499980926514","7.53000020980835","7.50099992752075","7.49399995803833","7.48199987411499","7.43800020217896","7.58400011062622","7.68100023269653","7.72900009155273","7.72200012207031",
"Angola","AGO","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.29300022125244","6.19199991226196","5.9229998588562","6.31699991226196","6.54300022125244","6.52400016784668","6.42799997329712","6.39200019836426","6.35500001907349","6.37099981307983","6.38899993896484","6.53999996185303","6.40299987792969","6.49100017547607","6.60900020599365","6.64699983596802","6.67600011825562","6.53000020980835","6.34600019454956","6.36199998855591","6.36899995803833","6.38800001144409","6.41499996185303","6.39499998092651","6.26999998092651","6.18599987030029",
"Albania","ALB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1619997024536","16.3199996948242","18.1019992828369","17.8439998626709","16.82200050354","16.5480003356934","15.3870000839233","16.2849998474121","16.7609996795654","13.9530000686646","18.1180000305176","14.0679998397827","13.3620004653931","13.298999786377","13.2569999694824","13.3979997634888","14.0480003356934","12.3590002059937","12.3500003814697","12.2749996185303","13.5340003967285","14.3409996032715","17.2999992370605","19.0890007019043","16.9379997253418","16.4689998626709",
"Andorra","AND","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5870879664948","10.8862332526588","11.350212230803","11.5420286754857","12.1957513623687","11.7547203908557","11.3354487262439","11.0752818492307","10.3153230403198","10.851696796776","10.6391825798063","10.8226846896715","11.1073271321041","10.3050620829032","9.58374155953984","8.91709015422065","8.6804152699499","8.32789848501128","7.7151850633946","7.40531057681861","8.65394584776926","8.81288637389411","8.80247811406887","9.0953795534447","9.14988485335972","9.02152726958413",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.56900000572205","2.64499998092651","2.41799998283386","1.67499995231628","1.42900002002716","2.19899988174438","2.10899996757507","2.39000010490417","2.29200005531311","1.81500005722046","2.48200011253357","2.55299997329712","2.26500010490417","2.65300011634827","2.57599997520447","2.55599999427795","2.50500011444092","2.56699991226196","3.34599995613098","3.3050000667572","3.26600003242493","3.22199988365173","3.16199994087219","3.09800004959106","2.95099997520447","2.84800004959106",
"Argentina","ARG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.42700004577637","6.78999996185303","8.27099990844727","10.6529998779297","16.7880001068115","15.4309997558594","12.9549999237061","11.4619998931885","13.1309995651245","14.1680002212524","16.1979999542236","17.9729995727539","14.2670001983643","11.9409999847412","10.0649995803833","7.87400007247925","6.97100019454956","6.45499992370605","7.73699998855591","6.69199991226196","6.23899984359741","6.06199979782104","6.03000020980835","6.4060001373291","5.8439998626709","5.77899980545044",
"Armenia","ARM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4869995117188","16.1599998474121","17.1380004882813","15.7110004425049","15.9119997024536","16.1529998779297","14.3079996109009","15.423999786377","14.3400001525879","16.3899993896484","16.201000213623","15.9949998855591","15.7760000228882","15.5380001068115","15.2679996490479","14.9750003814697","14.6579999923706","14.3549995422363","17.8339996337891","17.3290004730225","17.3379993438721","16.4529991149902","14.375","15.8439998626709","15.2650003433228","15.0109996795654",
"American Samoa","ASM","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
